19,44,43,46,46,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0
19,7,0,0,0,0,0,0,0,0,22,33,0,0,0,0,0,0,0,0
18,47,0,0,0,0,0,0,0,2,19,13,0,0,0,0,0,0,0,0
13,0,0,2,3,4,7,0,0,42,43,47,0,0,0,0,0,0,0,0
13,0,0,42,19,19,37,0,0,0,0,0,0,0,0,0,0,0,0,2
13,0,0,0,42,46,47,0,0,0,0,0,0,0,0,0,0,0,0,8
20,5,7,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,8
19,44,47,0,0,0,0,2,19,33,0,0,2,3,7,0,0,0,0,22
49,0,0,0,2,7,0,42,45,47,0,0,22,19,49,0,0,0,0,22
19,7,0,2,19,49,0,0,0,0,0,0,42,43,47,0,0,0,0,16
19,19,6,19,18,18,7,0,2,5,7,0,0,0,0,0,0,0,2,19
19,20,19,19,19,19,20,4,19,19,49,0,0,0,0,2,6,3,20,23
19,19,19,19,19,19,20,20,20,20,19,7,0,0,0,8,18,20,19,20
19,19,46,43,45,43,43,45,46,44,44,47,0,0,0,42,46,45,20,19
19,33,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,22,19
18,47,0,0,0,0,0,0,0,0,2,3,19,13,0,0,0,0,42,19
33,0,0,0,0,0,0,0,0,0,42,45,45,47,0,2,7,0,0,22
49,0,0,0,2,7,0,2,7,0,0,0,0,0,0,22,18,7,0,22
19,6,5,5,19,19,5,20,19,6,3,4,4,4,4,20,19,19,6,23
