3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,6,0,0
3,3,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,20,0,0
3,3,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0
3,0,0,3,3,3,3,0,0,3,3,3,0,0,0,0,0,0,0,1
3,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3
3,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3
3,3,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3
3,3,3,0,0,0,0,3,3,3,0,0,3,2,3,0,0,0,0,3
3,0,0,0,3,3,0,3,3,3,0,0,3,2,3,0,0,0,0,3
3,3,0,3,3,3,0,0,0,0,0,0,3,2,3,0,0,0,0,3
3,3,3,3,3,3,3,2,2,3,3,0,0,0,0,0,0,0,3,3
3,2,3,3,2,2,3,3,3,3,3,0,0,0,0,3,3,2,3,3
3,3,3,3,3,2,3,2,3,3,3,3,0,0,0,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,4,0,0,3,3,3,3,3
3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3
3,3,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,3,3
3,1,0,0,0,0,0,0,0,0,3,3,3,3,0,3,3,0,0,3
3,1,1,1,3,3,0,3,3,0,0,0,0,0,0,3,3,3,0,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
